keys,en,zh_CN
CONTRACT_TERM_GAIN,Net term change · $%s,合约期净变化 · $%s
MARKET_REVIEW,Decision Review,决策复盘
MARKET_REVIEW_SUBTITLE,Compare the price you locked with what followed,对照签约锁价与后续市场结果
MARKET_REVIEW_EMPTY,Your contract decisions will be recorded here,签约决策会记录在这里
MARKET_REVIEW_ROW,%s · locked ×%.2f vs now ×%.2f · $%s/mo,%s · 锁价 ×%.2f / 当前 ×%.2f · 每月 $%s
BOARD_SPECIALTIES,Board Specialties,董事会专长
BOARD_SPECIALTIES_SUBTITLE,Every legacy grants one permanent strategy point,每次公司传承获得一个永久策略点
BOARD_POINTS_AVAILABLE,Available points · %d,可用点数 · %d
BOARD_RANK,Rank %d / %d,等级 %d / %d
BOARD_ADD_POINT,Invest one point,投入 1 点
BOARD_RESET,Reset allocation,重置分配
BOARD_CONSTRUCTION,Construction Division,建设委员会
BOARD_CONSTRUCTION_DESC,Each rank reduces construction time by 3%,每级缩短 3% 建设时间
BOARD_OPERATIONS,Operations Division,运营委员会
BOARD_OPERATIONS_DESC,Each rank cuts upkeep 2% and auto-repair time 4%,每级降低 2% 维护费并缩短 4% 自动维修时间
BOARD_BUSINESS,Business Division,商务委员会
BOARD_BUSINESS_DESC,Each rank accelerates relationships 5% and raises income 0.5%,每级加快 5% 客户关系并提升 0.5% 收入
COMPANY_COLLECTION,Company Collection,企业典藏
COMPANY_COLLECTION_SUBTITLE,Every real facility client and market chapter leaves a record,每座设施、每位客户与每段行情都会留下记录
COLLECTION_FACILITIES,Facility Archive,设施档案
COLLECTION_CLIENTS,Client Archive,客户档案
COLLECTION_MARKET_HISTORY,Market Archive,行情档案
COLLECTION_LEGACY,Legacy Archive,传承档案
COLLECTION_PROGRESS,%d / %d discovered,已发现 %d / %d
COLLECTION_CLAIM,Complete set · claim %d gems,完成整套 · 领取 %d 钻石
COLLECTION_COMPLETE,Collection complete,整套已完成
COLLECTION_ERA2,Cloud-era chapter,云时代篇章
COLLECTION_ERA3,Intelligence-era chapter,智能时代篇章
COLLECTION_PRESTIGE,Company legacy,公司传承
COLLECTION_TAKEOVER,Bank restructuring,银行重整
COMPANY_HISTORY,Company Memorial,公司纪念册
COMPANY_HISTORY_EMPTY,Complete a legacy to preserve a company recap here,完成公司传承后会在此永久保存经营复盘
COMPANY_HISTORY_ROW,Company %d · revenue $%s · %d facilities,第 %d 家公司 · 营收 $%s · %d 座机房
LEGACY_RECAP,Company Recap,公司复盘
LEGACY_RECAP_BODY,Revenue $%s · net worth $%s · %d facilities,累计营收 $%s · 净资产 $%s · %d 座机房
REASON_RELATIONSHIP_REQUIRED,Build a familiar relationship before choosing this strategic term,先把客户关系提升到熟悉伙伴再选择战略合约
REASON_BOARD_POINTS_EMPTY,Complete another company legacy to earn a board point,完成下一次公司传承以获得董事会点数
REASON_BOARD_RANK_MAX,This specialty is already at maximum rank,该专长已达到最高等级
REASON_ALREADY_CLAIMED,This reward has already been claimed,该奖励已经领取
REASON_COLLECTION_INCOMPLETE,Discover every entry in this archive before claiming,集齐该档案中的全部条目后即可领取
NAV_MAP,Park,园区
NAV_BUILD,Build,建设
NAV_MARKET,Market,行情
NAV_TECH,Tech,科技
NAV_STORE,Store,商店
NAV_SETTINGS,Settings,设置
CAMPUS_OVERVIEW,Campus overview,园区总览
CAMPUS_OVERVIEW_SUBTITLE,Choose a campus to inspect its buildings and pending work,选择园区查看机房与待办事项
CAMPUS_OVERVIEW_CARD,%02d %s · %d/%d · $%s · %d alerts · Land +%d%%,%02d %s · %d/%d · $%s · %d 项 · 地价 +%d%%
CAMPUS_SWITCH_FORMAT,Campus %d / %d,园区 %d / %d
CAMPUS_PREVIOUS,Previous campus,上一园区
CAMPUS_NEXT,Next campus,下一园区
CAMPUS_WORLD_SUMMARY,Campus %02d · %d centers · $%s/mo,园区 %02d · %d 座 · $%s/月
CAMPUS_WORLD_EMPTY,Campus %02d · Expansion site,园区 %02d · 待扩建
CAMPUS_TAB_FORMAT,Campus %d,园区 %d
CAMPUS_TYPE_STANDARD,Standard campus,标准园区
CAMPUS_TYPE_EXPANSION,Expansion campus,扩展园区
CAMPUS_WORLD_TYPE_SUMMARY,%s · %d/%d · Land +%d%% · $%s/mo,%s · %d/%d 座 · 地价 +%d%% · $%s/月
CAMPUS_CAPACITY_DETAIL,%d-center capacity · Land premium +%d%%,上限 %d 座 · 地价溢价 +%d%%
OPERATIONS_CENTER,Task center,待办中心
OPERATIONS_SUBTITLE,Run the company without leaving the park,不离开园区即可管理公司
OPERATIONS_SHORT,Ops,运营
OPERATIONS_PENDING,Action queue,待办队列
OPERATIONS_PENDING_SUMMARY,%d actions · Urgent first,%d 项待办 · 紧急优先
OPERATIONS_ALL_CLEAR,All caught up,事项已清空
OPERATIONS_ALL_CLEAR_DETAIL,The park is running normally · Check market signals below,园区运行正常 · 可顺手查看下方行情
OPERATIONS_TOOLS,Management tools,管理工具
TASK_FAULT_TITLE,%s fault · %s,%s 故障 · %s
TASK_FAULT_SUBTITLE,Efficiency reduced · Auto-repair in %s,效率降低 · %s 后自动修复
TASK_GO_REPAIR,Repair,去维修
TASK_RENEWAL_TITLE,Free switch ready,免费改签已就绪
TASK_RENEWAL_SUBTITLE,%s · %s,%s · %s
TASK_GO_RENEW,Switch,去换约
TASK_RETIRE_TITLE,Retirement ready · %s,可退役 · %s
TASK_RETIRE_SUBTITLE,Recover $%s · Current $%s / month,回收 $%s · 当前月收入 $%s
TASK_GO_DECIDE,Review,去决策
TASK_MARKET_TITLE,%s is live,%s 进行中
TASK_MARKET_SUBTITLE,Find a signing opportunity · Existing rates stay locked,寻找签约机会 · 已签价格保持锁定
TASK_VIEW_MARKET,Market,看行情
COMPANY_OVERVIEW,Company,公司
ERA_SHORT,Era %d,时代 %d
UNLOCK_AT_ERA,Unlocks in Era %d,时代 %d 解锁
UNLOCK_AT_NETWORK,Requires %s,需要 %s
RACKS,Racks,机柜
RACKS_SUBTITLE,Capacity health and hardware lifecycle,容量、健康状态与硬件生命周期
INFRASTRUCTURE,Infrastructure,基础设施
INFRASTRUCTURE_SUBTITLE,Power cooling and end-of-life decisions,供电、制冷与退役决策
BUILD_DATA_CENTER,Build data center,建造机房
VIEW_QUEUE,View queue,查看队列
CASH_FORMAT,$%s,$%s
GEMS_FORMAT,%s Gems,%s 钻石
GEMS_REWARD_SHORT,Gems,钻石
INCOME_RATE,$%s / month,$%s / 月
BUY,Buy,购买
BUILD,Build,建造
INSTALL,Install,安装
UPGRADE,Upgrade,升级
REPAIR,Repair,维修
REPAIR_QUOTE,Repair · $%s · about %s,维修 · $%s · 约 %s
REPAIR_AD_QUOTE,Watch ad · Repair now (%d/%d this hour),看广告 · 立即修复（本小时 %d/%d）
REPAIR_GEMS_QUOTE,Instant repair · %d Gems,钻石立修 · %d 钻石
DISMANTLE_RACK_QUOTE,Dismantle rack · Recover $%s,拆除机柜 · 回收 $%s
RETIRE,Retire,退役
RETIRE_TRADEOFF,Retire before ruin to keep the better harvest · Current $%s / month,报废前退役可获得更高回收 · 当前月收入 $%s
DEMOLISH,Collect scrap,清理残料
CLEAR_SCRAP_QUOTE,Collect scrap · Recover $%s,清理残料 · 回收 $%s
SIGN_CONTRACT,Sign contract,签订合约
SWITCH_CONTRACT,Switch contract,更换合约
CONTRACT_BREACH_FEE,Switching fee: $%s,换约违约金：$%s
CONTRACT_RENEWAL_WINDOW,Auto-renewed · free switch saved,已自动续约 · 免费改签资格已保留
CONTRACT_RENEWAL_CTA,Free switch ready,免费改签
CONTRACT_REMAINING,Term remaining: %s,合约剩余：%s
CONTRACT_FREE_SWITCH,Free switch,免费换约
CONTRACT_LOCKED_RATE,Signed ×%.2f,签约价 ×%.2f
CONTRACT_MARKET_RATE,Market now ×%.2f,当前行情 ×%.2f
CONTRACT_PRORATED_EVENT,Prorated across %.1f event months,按事件剩余 %.1f 个游戏月折算
CONTRACT_PROJECTED,Projected $%s / month,预计 $%s / 月
CONTRACT_PROJECTED_AFTER_RACK,Income starts when a rack comes online,机柜上线后开始产生收入
CONTRACT_CAPACITY_TITLE,No sellable capacity yet,还没有可售算力
CONTRACT_CAPACITY_EMPTY,Install and enable a rack to start earning.,安装并启用至少一台机柜，签约后即可产生收入。
CONTRACT_CAPACITY_PENDING,Rack installation is underway. Income starts when it is online.,机柜正在安装，完成上线后即可产生收入。
CONTRACT_CAPACITY_OFFLINE,No rack is online. Enable one or upgrade the transformer.,当前没有可用机柜，请启用机柜或升级变压器。
CONTRACT_CONFIGURE_RACKS,Configure racks,去配置机柜
CONTRACT_IN_SERVICE,In service,服务中
CONTRACT_FIT_TOOLTIP,Compute %.2f · Storage %.2f · GPU %.2f,算力 %.2f · 存储 %.2f · GPU %.2f
CONTRACT_CONFIRM_DELTA,Current $%s / month → $%s / month (%+.1f%%),当前 $%s / 月 → $%s / 月（%+.1f%%）
CONTRACT_TERM_INFO,The new term lasts 6 game months,新合约持续 6 个游戏月
CONTRACT_NO_DC,Build a data center before assigning clients,请先建成机房再调配客户
TOAST_CONTRACT_RENEWAL,Contract renewed · free switch saved,合约已自动续约 · 免费改签资格已保留
OFFLINE_AUTO_RENEWED,%d contracts auto-renewed,%d 份合约已自动续约
OFFLINE_FREE_SWITCH_READY,Free switch ready · no expiry,免费改签资格已就绪 · 永不过期
CANCEL,Cancel,取消
CONFIRM,Confirm,确认
CLOSE,Close,关闭
CLAIM,Claim,领取
WATCH_AD,Watch rewarded video,观看激励视频
FREE_NOADS,Included with No Ads,去广告权益免费领取
RESTORE_PURCHASES,Restore purchases,恢复购买
STORE_WALLET_HINT,Spend gems on time-saving boosts and special packs,钻石可用于加速与购买特别礼包
STORE_SECTION_DEALS,Limited deals,限时特惠
STORE_SECTION_DEALS_HINT,One-time bundles for major milestones,关键阶段的一次性组合包
STORE_SECTION_GEMS,Gem vault,钻石商店
STORE_SECTION_GEMS_HINT,More gems per dollar in larger packs,大档位可获得更多加送钻石
STORE_SECTION_PERKS,Permanent perks,永久权益
STORE_SECTION_PERKS_HINT,Account-wide upgrades that never expire,永久生效的账户级权益
STORE_DEALS_LATER,More deals unlock at future milestones,更多特惠将在后续里程碑解锁
STORE_BEST_VALUE,Best value,最划算
STORE_BONUS_PCT,+%d%% bonus,+%d%% 加送
STORE_PACK_CONTENTS,%d Gems · $%s cash · %d tickets,%d 钻石 · $%s 现金 · %d 张完工券
STORE_OWNED,Owned,已拥有
STORE_UNAVAILABLE,Unavailable,暂不可购买
NOT_ENOUGH_CASH,Not enough cash,现金不足
NOT_ENOUGH_GEMS,Not enough gems,钻石不足
LOCKED,Locked,未解锁
EMPTY_SLOT,Empty slot,空机位
INSTALLING,Installing,安装中
RACK_DISABLED,Paused,已停机
RACK_TURN_ON,Power on,恢复运行
RACK_TURN_OFF,Pause rack,停机保留
RACK_MARKET_STEADY,Steady · 30% market exposure,稳健 · 30% 行情敏感
RACK_MARKET_BALANCED,Balanced · 100% market exposure,均衡 · 100% 行情敏感
RACK_MARKET_VOLATILE,Volatile · 120% market exposure,高波动 · 120% 行情敏感
FAULTED,Faulted,故障
FAULTED_AUTO_REPAIR,Efficiency %d%% · Engineer auto-repairs in %s,效率降至 %d%% · 工程师将在 %s 后自动修复
OVERHEATED,Overheated,过热
UNPOWERED,Unpowered,未通电
POWERED,Powered,供电正常
CONSTRUCTION_QUEUE,Construction queue,建设队列
QUEUE_CAPACITY,%d of %d projects active,%d / %d 个项目进行中
QUEUE_EMPTY,Nothing is being built,当前没有建设项目
COMPLETE_IN,Complete in %s,%s 后完成
SPEED_UP,Speed up,加速
INSTANT_TICKET,Instant build ticket,立即完工券
BUY_NEXT_PLOT,Buy next plot,购买下一块地
PLOT_FOR_SALE,Plot #%d · $%s,第 %d 块地 · $%s
PLOT_EMPTY,Empty plot #%d,第 %d 块空地
DC_DETAIL,Data center details,机房详情
LIFESPAN,Lifespan,寿命
MAINTENANCE,Maintenance $%s / month,维护费 $%s / 月
CONTRACT_NONE,No active contract,尚未签约
CONTRACT_CURRENT,Client: %s,客户：%s
CONTRACT_RENEWAL_FREE,Free switch,免费改签
DATACENTER_CLIENT_STATUS,%s · %s,%s · %s
MARKET_ACTIVE,Active events,正在发生
MARKET_PREVIEW,Coming next,新闻预告
MARKET_CALM,Markets are calm,当前行情平稳
MARKET_NO_HISTORY,Market history will appear as time passes,行情记录将在运营后逐步生成
MARKET_NOW,Now,现在
MARKET_CUSTOMERS,Customer signals,客户走势
MARKET_SIGNING_ADVISOR,Signing advisor · active events are prorated across each contract term,签约参谋 · 已生效事件按各档合同期限折算
MARKET_CUSTOMERS_HINT,Compare today's rates before a new signing or free switch,新签或免费改签前，先比较今日行情
MARKET_7D_TREND,Recent 7-day signal,近 7 日走势
EVENT_STARTS_IN,Starts in %s,%s 后开始
EVENT_CHECK_MY_DC,Review my contracts,查看我的合约
MARKET_EVENT_STARTED,%s is live · Tap to rebalance,%s 已开始 · 点击调整合约
MARKET_EVENT_ENDED,%s has ended · Tap to review,%s 已结束 · 点击复盘
MARKET_BENEFIT_STATUS,Signing chance · %s ×%.1f · %s left,签约机会 · %s ×%.1f · 剩 %s
NETWORK,Network access,网络接入
ERA_PROGRESS,Era progress,时代进度
ERA_CURRENT,Current,当前
ERA_ROUTE_COMPLETE,All eras unlocked,全部时代已解锁
ERA_NEXT_UNLOCKS,%s unlocks,%s 解锁内容
ERA_MORE_ITEMS,and %d more,另有 %d 项
PRESTIGE,IPO Restructure,上市重组
PRESTIGE_LOCKED,Build %d data centers to unlock,累计建造 %d 座机房后解锁
PRESTIGE_PROGRESS,Data centers built %d / %d,累计建成 %d / %d 座机房
PRESTIGE_EST_GAIN,Estimated brand multiplier ×%.2f,预计品牌倍率 ×%.2f
PRESTIGE_GAIN_DETAIL,Brand multiplier ×%.2f → ×%.2f,品牌倍率 ×%.2f → ×%.2f
PRESTIGE_KEEP_LIST,Keep: era · network · purchases · achievements,保留：时代 · 网络 · 购买权益 · 成就
PRESTIGE_LIQUIDATE,Liquidate assets into $%s starting cash,清算资产并以 $%s 现金重新起步
PRESTIGE_CONTINUE,Review restructuring,查看重组确认
PRESTIGE_FINAL_TITLE,Final board approval,董事会最终确认
PRESTIGE_FINAL_WARNING,This liquidates the current park and cannot be undone.,这会清算当前园区且无法撤销。
PRESTIGE_HOLD_CONFIRM,Hold 1.2s to restructure,长按 1.2 秒确认重组
ACHIEVEMENTS,Achievements,成就
ACHIEVEMENTS_SUBTITLE,Long-term milestones and permanent rewards,长期里程碑与永久奖励
HIGHEST_NET_WORTH,Highest net worth,历史最高净值
STAT_SURVIVAL,Company age,公司存续时间
TOTAL_REVENUE,Total revenue,累计收入
BANKRUPTCY_WARNING,Cash-flow emergency,现金流告急
BANKRUPTCY_BODY,Pay the outstanding maintenance within %s or the bank will sell the oldest data center.,请在 %s 内付清维护欠款，否则银行将变卖最老的机房。
ARREARS_BANNER,Maintenance debt $%s,维护欠款 $%s
ARREARS_TIME_LEFT,Bank collection in %s,距银行接管 %s
BANK_TAKEOVER_TITLE,Bank restructuring,银行接管结算
BANK_TAKEOVER_BODY,The bank settled $%s of maintenance debt. Your progress and remaining assets are safe.,银行已处理 $%s 维护欠款，你的进度与剩余资产均已保留。
BANK_TAKEOVER_DEBT_PAID,Debt paid,已抵欠款
BANK_TAKEOVER_FORGIVEN,Debt waived,坏账核销
BANK_TAKEOVER_RELIEF,Restructuring grant,重整补助
BANK_TAKEOVER_REMAINING,Data centers retained,保留机房
BANK_TAKEOVER_SOLD,Data centers sold · %d,变卖机房 · %d
BANK_TAKEOVER_NONE_SOLD,No data centers needed to be sold.,无需变卖机房。
BANK_TAKEOVER_SOLD_ROW,Data center %s · $%s recovered,机房 %s · 回收 $%s
BANK_TAKEOVER_CONTINUE,Start fresh,重新出发
NEW_COMPANY,Start a new company,重新创业
ARREARS_RESCUE,Claim emergency funds,领取救急金
OFFLINE_TITLE,Welcome back,欢迎回来
OFFLINE_EARNED,Your data centers earned $%s while you were away.,离线期间机房赚取了 $%s。
OFFLINE_DOUBLE,Double reward,收益翻倍
OFFLINE_CREDITED_TIME,Earnings credited for %s.,已结算 %s 的离线收益。
OFFLINE_CAP_NOTICE,Offline earnings reached the %s cap.,离线收益已达到 %s 上限。
AFFORD_SHORTFALL,Need $%s,还差 $%s
SETTINGS_LANGUAGE,Language,语言
SETTINGS_MUSIC,Music,音乐
SETTINGS_SFX,Sound effects,音效
SETTINGS_HAPTICS,Haptics,触感反馈
SETTINGS_RESET,Start new company,重开公司
SETTINGS_RESET_WARNING,This resets the current run. Purchases premium currency achievements and permanent prestige bonuses are kept.,这会重置本局；购买记录、付费货币、成就与永久转生加成会保留。
SETTINGS_LEGAL,Legal and support,法律与支持
SETTINGS_LEGAL_HINT,Policies support and build information,政策、客服与版本信息
SETTINGS_PRIVACY,Privacy policy,隐私政策
SETTINGS_TERMS,Terms of service,服务条款
SETTINGS_SUPPORT,Customer support,客服邮箱
SETTINGS_VERSION,Version %s,版本 %s
LANGUAGE_ENGLISH,English,English
LANGUAGE_CHINESE,简体中文,简体中文
BUILDING_T0,Container Data Center,集装箱机房
BUILDING_T1,Standard Data Center,标准机房
BUILDING_T2,Large Data Center,大型机房
BUILDING_T3,Hyperscale Data Center,超大规模机房
RACK_COMPUTE_T1,Compute Rack T1,计算机柜 T1
RACK_STORAGE_T1,Storage Rack T1,存储机柜 T1
RACK_GPU_T1,GPU Rack T1,GPU 机柜 T1
RACK_COMPUTE_T2,Compute Rack T2,计算机柜 T2
RACK_STORAGE_T2,Storage Rack T2,存储机柜 T2
RACK_GPU_T2,High-density GPU Rack,高密 GPU 机柜
POWER_T1,Transformer T1,变压器 T1
POWER_T2,Substation T2,变电站 T2
POWER_T3,High-voltage Station T3,高压站 T3
POWER_QUICK_INSTALL,Install T1 · $%s,安装 T1 · $%s
POWER_UNPOWERED_HINT,Off · Tap Install T1,未通电 · 点击安装 T1
POWER_INSTALL_PENDING,Transformer installation · %s remaining,变压器安装中 · 剩余 %s
POWER_INSTALL_BLOCKED,Transformer cannot start yet,变压器暂时无法开工
COOL_AIR_T1,Air Cooling T1,风冷 T1
COOL_AIR_T2,Air Cooling T2,风冷 T2
COOL_LIQUID_T1,Liquid Cooling T1,液冷 T1
COOL_LIQUID_T2,Liquid Cooling T2,液冷 T2
CUSTOMER_INTERNET,Internet Company,互联网厂商
CUSTOMER_MINING,Crypto Mining,挖矿客户
CUSTOMER_CLOUD,Cloud Provider,云厂商
CUSTOMER_GPU,AI Company,AI 公司
ERA_1,Colocation Era,托管时代
ERA_2,Cloud Era,云计算时代
ERA_3,AI Era,AI 时代
ERA_NEWSPAPER_MASTHEAD,DATA CENTER DAILY · SPECIAL EDITION,机房日报 · 时代特刊
ERA_ARRIVAL,%s Has Arrived!,%s来临！
ERA_UNLOCK_SUMMARY,New infrastructure unlocked,全新基础设施已解锁
ERA_ENTER,Enter the new era,进入新时代
NETWORK_L1,10G Access,10G 接入
NETWORK_L2,100G Access,100G 接入
NETWORK_L3,Dedicated Line,专线接入
NETWORK_L4,Backbone Node,骨干节点
TECH_REPAIR_TEAM,Repair Crew,维修队
TECH_REPAIR_TEAM_DESC,Shortens dispatch repair time.,缩短派修等待时间。
TECH_CONSTRUCTION_BAYS,Engineering Department,工程部扩编
TECH_CONSTRUCTION_BAYS_DESC,Add a permanent construction lane for this company.,为本轮公司增加一条建设车道。
TECH_CONSTRUCTION_BAYS_STATUS,%d simultaneous projects,%d 个项目可同时建设
REASON_LOCKED_PRESTIGE,Available after completing %d company rebuild.,完成第 %d 次公司重组后开放。
TECH_AUTO_RETIREMENT,Auto Retirement,自动退役
TECH_AUTO_RETIREMENT_DESC,At 95% lifespan automatically harvest recovery · Works offline,寿命达到 95% 时自动退役入账 · 离线也生效
AUTO_RETIRE_MARKER,Auto at %d%%,%d%% 自动退役
OFFLINE_AUTO_RETIRED,Auto-retired · $%s recovered,已自动退役 · 回收 $%s
EVENT_SHOPPING,E-commerce Festival,电商大促
EVENT_SHOPPING_DESC,Internet demand surges.,互联网需求激增。
EVENT_VIRAL,Viral Social App,社交应用爆红
EVENT_VIRAL_DESC,A new app needs massive capacity.,爆款应用急需大量算力。
EVENT_COIN_BOOM,Crypto Price Boom,币价暴涨
EVENT_COIN_BOOM_DESC,Mining demand spikes.,挖矿需求激增。
EVENT_MINING_CRASH,Mining Crash,矿难
EVENT_MINING_CRASH_DESC,Mining demand collapses.,挖矿需求暴跌。
EVENT_POLICY,Policy Tightening,政策收紧
EVENT_POLICY_DESC,Mining customers pull back.,挖矿客户缩减投入。
EVENT_CLOUD_MIGRATION,Cloud Migration Wave,企业上云潮
EVENT_CLOUD_MIGRATION_DESC,Companies rush to the cloud.,企业集中迁移上云。
EVENT_SELF_BUILD,Hyperscalers Build In-house,大厂自建机房
EVENT_SELF_BUILD_DESC,Cloud providers reduce leasing.,云厂商减少外部租赁。
EVENT_AI_BOOM,Foundation Model Boom,AI 大模型热潮
EVENT_AI_BOOM_DESC,AI labs compete for GPU capacity.,AI 公司争抢 GPU 算力。
EVENT_GPU_SHORTAGE,GPU Supply Shock,显卡断供
EVENT_GPU_SHORTAGE_DESC,GPU rack prices double.,GPU 机柜购置价翻倍。
EVENT_SURPLUS,Compute Surplus,算力过剩
EVENT_SURPLUS_DESC,AI capacity prices fall.,AI 算力价格下跌。
EVENT_WINTER,Industry Winter,行业寒冬
EVENT_WINTER_DESC,All customers cut spending.,所有客户缩减支出。
EVENT_DIGITAL_WAVE,Digitalization Wave,数字化浪潮
EVENT_DIGITAL_WAVE_DESC,Demand rises across the industry.,全行业需求上升。
EVENT_CLOUD_FRAMEWORK,Cloud Framework Deal,云厂商年度框架大单
EVENT_CLOUD_FRAMEWORK_DESC,A long-term cloud capacity tender opens.,长期云容量招标正式开启。
EVENT_SOVEREIGN_AI,Sovereign AI Training Contract,主权 AI 训练合同
EVENT_SOVEREIGN_AI_DESC,A national AI program reserves massive GPU capacity.,国家级 AI 项目集中采购 GPU 算力。
EVENT_OVERSEAS_NODE,Overseas Node Tender,海外节点招标
EVENT_OVERSEAS_NODE_DESC,Global services seek new internet edge capacity.,全球业务采购海外边缘节点容量。
EVENT_AI_INFERENCE,AI Inference Demand Surge,AI 推理需求爆发
EVENT_AI_INFERENCE_DESC,AI applications lift GPU and cloud demand together.,AI 应用同时拉升 GPU 与云端需求。
EVENT_SOVEREIGN_AI_RARE,Sovereign AI Reserve,主权 AI 算力储备
EVENT_SOVEREIGN_AI_RARE_DESC,A strategic program urgently reserves national GPU capacity.,国家级战略项目紧急锁定大规模 GPU 算力。
EVENT_COMPUTE_FAMINE,Compute Famine,算力荒
EVENT_COMPUTE_FAMINE_DESC,Scarce capacity lifts demand across every customer segment.,算力供给紧张，所有客户需求同步上升。
EVENT_COMPLIANCE_ARCHIVE,Compliance Archive Mandate,合规归档令
EVENT_COMPLIANCE_ARCHIVE_DESC,New retention rules sharply increase internet and cloud storage demand.,新规推动互联网与云厂商集中扩充存储容量。
EVENT_RARE_BADGE,Rare,稀有
MARKET_RARE_EVENT_STARTED,Rare event · %s is live,稀有行情 · %s 已开始
CONTRACT_STRATEGIC_CAP,Strategic lock cap ×%.1f,战略约锁价上限 ×%.1f
STORE_NOADS,No Ads,永久去广告
STORE_NOADS_DESC,Claim every rewarded benefit instantly forever.,永久直接领取所有激励广告奖励。
STORE_OFFLINE24,24-hour Offline Earnings,24 小时离线收益
STORE_OFFLINE24_DESC,Extend the offline earnings cap from 8 to 24 hours.,离线收益上限从 8 小时延长至 24 小时。
STORE_GEMS_S,200 Gems,200 钻石
